claim_id,claim_text,old,new12,new27,delta_pipeline_pp,delta_sample_pp,verdict,cause,refit_status
P10,Bayesian diagnostics,"0/36 Rhat>1.01, min ESS_bulk 2355, 0 divergences",n/a,n/a,,,n/a,not applicable -- old model not refit,not refit (decision)
H1.5a,Animacy within noise trials,P(dir)=1.0000,+10.30pp,+5.51pp,-0.11,-4.79,STABLE,none needed -- evidence far from boundary,not triggered
H1.5b,Human face within noise,P(dir)=0.1105 (null; borderline),-6.25pp,-2.38pp,+2.05,+3.87,BORDERLINE,"old P=0.1105 sits just outside the [0.01,0.10] trigger band -- flagged for awareness, not a formal trigger",optional refit (borderline)
H1.5c,Handmade/natural within noise,P(dir)=0.2076 (null),+3.87pp,+3.49pp,+0.00,-0.38,STABLE,none needed -- stays null both sides,not triggered
SF1,Animacy (frequentist GLMM),"OR=1.975, Holm p=2.03e-8",tracks P1 descriptively,tracks P1 descriptively,,,STABLE,mirrors P1 -- far from boundary,not triggered
SF2,Human face vs other animate (freq),"OR=0.648, Holm p=0.00196",tracks P2 descriptively,tracks P2 descriptively,,,STABLE,mirrors P2 -- far from boundary,not triggered
SF3,Handmade vs natural (freq),"OR=0.876, Holm p=0.514 (null)",tracks P3 descriptively,tracks P3 descriptively,,,STABLE,mirrors P3 -- stays null,not triggered
SF4,Trial-category omnibus (freq),"chisq=12.80, p=0.001664",n/a (omnibus, no proxy),n/a,,,TRIGGERED,component contrasts (SF4a/SF4c) moved >3pp,NOT REFIT (decision: headline VSS claims already stable, low benefit) (inherits from SF4a/SF4c)
SF4a,Color vs BW (freq),"OR=0.663, Tukey p=0.0039",tracks P4 descriptively (+3.03pp move),tracks P4,,,TRIGGERED,px2deg/outlier-in-visits,"NOT REFIT (decision: headline VSS claims already stable, low benefit) (rule: >3pp move, mirrors P4)"
SF4b,Color vs Noise (freq),"OR=0.951, Tukey p=0.918 (null)",tracks P5 descriptively,tracks P5,,,STABLE,mirrors P5 -- stays null,not triggered
SF4c,BW vs Noise (freq),"OR=1.434, Tukey p=0.0094",tracks P6 descriptively (+3.12pp move),tracks P6,,,TRIGGERED,same channel as SF4a,"NOT REFIT (decision: headline VSS claims already stable, low benefit) (rule: >3pp move, mirrors P6)"
SF5,Target-category omnibus (freq),"chisq=44.45, p<.001",n/a (omnibus),n/a,,,STABLE,component contrasts (SF1-SF3) all stable,not triggered
SF6,Target angle main effect (freq),"chisq=0.137, p=0.7116 (null); 0deg=28.1% 10deg=26.4% 20deg=26.0% (monotonic)",0deg=31.0% 10deg=17.4% 20deg=27.1% (NOT monotonic),0deg=27.3% 10deg=26.3% 20deg=29.7% (NOT monotonic),,,TRIGGERED,"the old monotonic descending pattern (28.1/26.4/26.0) does not hold in either new view -- shape changed, not just a level shift","NOT REFIT (decision: headline VSS claims already stable, low benefit) (pattern changed, not just >3pp on the 0-vs-20 endpoints)"
SF7,3-way interaction (trial_cat:target_cat:angle),"chisq=19.75, p=0.03175 (marginal -- sole significant interaction among 4 tested)",no descriptive proxy (3-way, small per-cell n),no descriptive proxy,,,TRIGGERED,old p=0.03175 sits inside [0.01-0.10] trigger band; inherently fragile (one marginal hit among many nulls invites overfitting concern),"NOT REFIT (decision: headline VSS claims already stable, low benefit) (rule: near-boundary p, high fragility)"
SF8,GLMM convergence (SF model),Converged (TRUE),n/a,n/a,,,n/a,"contrast with HR2's non-convergence -- kept as context, not a comparison target",not refit (decision)
HR1,Overall miss rate,24.44% +/- 1.86%,24.77% +/- 1.82%,24.73% +/- 1.62%,+0.33,-0.04,STABLE,none needed,not triggered
HR2,Trial-category omnibus (hit rate),"chisq=26.814, p<.001 -- BUT old model reported Convergence status FALSE",BW=65.5% COLOR=79.1% NOISE=78.8%,BW=66.0% COLOR=81.8% NOISE=79.6%,,,CAUTION,old baseline itself is unreliable (non-convergence) independent of any pipeline change,NOT REFIT (decision: headline VSS claims already stable, low benefit) (baseline-quality issue, not a movement trigger)
HR2a,BW vs Color (hit rate),"BW=66.6% COLOR=80.7%, Tukey p=0.000046",BW=65.5% COLOR=79.1%,BW=66.0% COLOR=81.8%,,,CAUTION,inherits HR2's convergence caveat,NOT REFIT (decision: headline VSS claims already stable, low benefit) (inherits HR2)
HR2b,BW vs Noise (hit rate),"BW=66.6% NOISE=80.8%, Tukey p=0.000039",BW=65.5% NOISE=78.8%,BW=66.0% NOISE=79.6%,,,CAUTION,inherits HR2's convergence caveat,NOT REFIT (decision: headline VSS claims already stable, low benefit) (inherits HR2)
HR2c,Color vs Noise (hit rate),"COLOR=80.7% NOISE=80.8%, Tukey p=0.999 (null)",COLOR=79.1% NOISE=78.8%,COLOR=81.8% NOISE=79.6%,,,CAUTION,inherits HR2's convergence caveat,NOT REFIT (decision: headline VSS claims already stable, low benefit) (inherits HR2)
HR3,Target-category omnibus (hit rate),"chisq=62.710, p<.001",ordering preserved (OBJECT_NATURAL/HUMAN_FACE highest, ANIMAL_FACE lowest),ordering preserved,,,STABLE,none needed -- rank order of categories unchanged,not triggered
HR3a,Animal face vs human face (hit rate),"AF=59.0% HF=84.7%, Tukey p=8.96e-7",AF=60.0% HF=82.3%,AF=65.0% HF=81.0%,,,STABLE,none needed -- large gap persists,not triggered
HR4,Abs target angle main effect (hit rate),"chisq=0.010, p=0.9187 (null)",n/a (no proxy computed),n/a,,,STABLE,no reason to expect this changed,not triggered
TE1,Overall trial inclusion rate,85.00% (612/720),84.72% (610/720),81.28% (1316/1619),-0.28,-3.44,SHIFTED,"pipeline arm stable; sample arm crosses 3pp -- new subjects have a lower baseline inclusion rate, not a pipeline artifact",descriptive only -- not a hypothesis test
TE2_BW,Inclusion rate, BW,80.00%,79.58%,78.33%,-0.42,-1.25,STABLE,none needed,not triggered
TE2_COLOR,Inclusion rate, COLOR,88.75%,88.75%,85.34%,+0.00,-3.41,SHIFTED,sample arm only -- new subjects lower,descriptive only
TE2_NOISE,Inclusion rate, NOISE,86.25%,85.83%,80.19%,-0.42,-5.64,SHIFTED,sample arm only -- new subjects lower,descriptive only
TE2a,BW vs Color (inclusion),"OR=0.487, p=0.0187",tracks TE2_BW vs TE2_COLOR (unchanged pipeline arm),tracks (sample arm shifts, but same direction),,,TRIGGERED,old p=0.0187 sits inside [0.01-0.10] trigger band,"NOT REFIT (decision: headline VSS claims already stable, low benefit) (rule: near-boundary p)"
TE2b,BW vs Noise (inclusion),"OR=0.620, p=0.1416 (null)",tracks TE2_BW vs TE2_NOISE,tracks,,,STABLE,old p just outside trigger band; deltas small,not triggered
TE2c,Color vs Noise (inclusion),"OR=1.272, p=0.6686 (null)",tracks TE2_COLOR vs TE2_NOISE,tracks,,,STABLE,none needed,not triggered
TE3,Per-criterion breakdown (no_bad_action / no_miss_with_false_alarm),NOT COMPARABLE,NOT COMPARABLE,NOT COMPARABLE,,,NOT_COMPARABLE,"old notebook cell reads STANDALONE per-criterion flags from check_trial_inclusion_criteria() directly; the new pipeline's trial_funnel only exposes CUMULATIVE upto_ columns. Comparing them (as an early draft of this script did) silently compares different constructs. Dropped rather than reported.",out of scope -- would need to call pipeline/stage3_classify/trial_inclusion.py predicates directly
TOT1,Fatigue effect on P[LWS] across trial number (GAM shape),"predicted P[LWS] rises 25.8%->27.1% over trials 1-60 (weak, no saved p-value)",not computed (shape claim -- no cheap descriptive proxy matches a GAM fit),not computed,,,TRIGGERED,shape claim with no descriptive proxy,NOT REFIT (decision: headline VSS claims already stable, low benefit) (rule: shape claim)
TIT1,Within-trial P[LWS] dynamics (GAM shape),"flat-high (~31-39%) through ~9.2s then sharp decline to ~2% by ~21.3s -- decline is partly mechanical (not_close_to_trial_end criterion)",not computed (shape claim),not computed,,,TRIGGERED,shape claim with no descriptive proxy; also carries a structural confound worth re-examining post-refit,NOT REFIT (decision: headline VSS claims already stable, low benefit) (rule: shape claim)
SP1,Spatial P[LWS] variation (te(x,y) GAM),NO VALID OLD SIGNIFICANCE TEST (pyGAM bug + in-notebook R error),not attempted,not attempted,,,NOT_COMPARABLE,old baseline has no trustworthy p-value to compare against (documented pyGAM#163 bug; R fit errored in-notebook),out of scope -- no valid old value to refit against
